supplier_name,model,name,description,category,sub_category,btu,image_url,price_no_vat,tipe_item,id,created_date,updated_date,created_by_id,created_by,is_sample
"אלקטרה","מפצל לשסתום התפשטות 02 - FQZHD-02","אלקטרה - מפצל לשסתום התפשטות 02 - FQZHD-02","","אביזרי צנרת","מפצלים לשסתום התפשטות","","","410","","68da4f7942eb394eefb9c2c4","2025-09-29T09:20:57.462000","2025-09-29T09:20:57.462000","68b3dec209adbcb52b0ebf8b","talya@talyaosher.com","false"
"אלקטרה","פיקוד ליטא 2 VRF - ELVCA-KZ/02B","אלקטרה - פיקוד ליטא 2 VRF - ELVCA-KZ/02B","","אביזרי בקרה","יחידות פיקוד ובקרה","","","2380","","68da4f7942eb394eefb9c2d9","2025-09-29T09:20:57.462000","2025-09-29T09:20:57.462000","68b3dec209adbcb52b0ebf8b","talya@talyaosher.com","false"
"אלקטרה","כרטיס מלון ל- VRF / מגע יבש Roof Top - ELVCA-NIM05","אלקטרה - כרטיס מלון ל- VRF / מגע יבש Roof Top - ELVCA-NIM05","","אביזרי בקרה","יחידות פיקוד ובקרה","","","176","","68da4f7942eb394eefb9c2dd","2025-09-29T09:20:57.462000","2025-09-29T09:20:57.462000","68b3dec209adbcb52b0ebf8b","talya@talyaosher.com","false"
"אלקטרה","פיקוד חוטי -דור 2- דו כיווני/מואר/קוד תקלה /טמפ חדר - E-WR86S","אלקטרה - פיקוד חוטי -דור 2- דו כיווני/מואר/קוד תקלה /טמפ חדר - E-WR86S","","אביזרי בקרה","יחידות פיקוד ובקרה","","","650","","68da4f7942eb394eefb9c2e8","2025-09-29T09:20:57.462000","2025-09-29T09:20:57.462000","68b3dec209adbcb52b0ebf8b","talya@talyaosher.com","false"
"אלקטרה","גריל דקור (חישוב לפי יחידה)","אלקטרה - גריל דקור (חישוב לפי יחידה)","","חומרים ואביזרי מיזוג פנימי לארגמן","גרילים ומתאמים","","","1","","68da4f7942eb394eefb9c2ed","2025-09-29T09:20:57.462000","2025-09-29T09:20:57.462000","68b3dec209adbcb52b0ebf8b","talya@talyaosher.com","false"
"אלקטרה","חנוכיה - ELVMHPIQT4-140/250","אלקטרה - חנוכיה - ELVMHPIQT4-140/250","","אביזרי צנרת","חנוכיות","","","1060","","68da4f7942eb394eefb9c2d2","2025-09-29T09:20:57.462000","2025-09-29T09:20:57.462000","68b3dec209adbcb52b0ebf8b","talya@talyaosher.com","false"
"אלקטרה","פיקוד חוטי דור 2- טיימר שבועי/דו כיווני/מתקדם - ELVCW-120G/WK","אלקטרה - פיקוד חוטי דור 2- טיימר שבועי/דו כיווני/מתקדם - ELVCW-120G/WK","","אביזרי בקרה","יחידות פיקוד ובקרה","","","1850","","68da4f7942eb394eefb9c2e2","2025-09-29T09:20:57.462000","2025-09-29T09:20:57.462000","68b3dec209adbcb52b0ebf8b","talya@talyaosher.com","false"
"אלקטרה","פיקוד  מרכזי דור 2 /מסך מגע/ 384 מאיידים - ELVICCI-270B/WS","אלקטרה - פיקוד  מרכזי דור 2 /מסך מגע/ 384 מאיידים - ELVICCI-270B/WS","","אביזרי בקרה","יחידות פיקוד ובקרה","","","20330","","68da4f7942eb394eefb9c2e7","2025-09-29T09:20:57.462000","2025-09-29T09:20:57.462000","68b3dec209adbcb52b0ebf8b","talya@talyaosher.com","false"
"אלקטרה","שרשור לבית פרטי (חישוב לפי חבילה)","אלקטרה - שרשור לבית פרטי (חישוב לפי חבילה)","","חומרים ואביזרי מיזוג פנימי לארגמן","שרשורים","","","3000","","68da4f7942eb394eefb9c2ef","2025-09-29T09:20:57.462000","2025-09-29T09:20:57.462000","68b3dec209adbcb52b0ebf8b","talya@talyaosher.com","false"
"אלקטרה","מפצלים למאידים HR לאינדקס עד 1100 - FQZHN-05SB1","אלקטרה - מפצלים למאידים HR לאינדקס עד 1100 - FQZHN-05SB1","","אביזרי צנרת","מפצלים למאיידי HP/HR","","","3000","","68da4f7942eb394eefb9c2c2","2025-09-29T09:20:57.462000","2025-09-29T09:20:57.462000","68b3dec209adbcb52b0ebf8b","talya@talyaosher.com","false"
